2017-07-05 11:17:40.114 -0600	START		Running Index/Index No CSV.script
2017-07-05 11:17:40.360 -0600	Log		(1967-09-04,413236,llkq,mxhmsc,Married,v,Female,595-49-4746,Mr)	13	on_index_index_no_csv	Index/Index No CSV.script
2017-07-05 11:18:22.203 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:23.012 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:23.823 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:24.633 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:25.441 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:26.255 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:27.065 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:27.876 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:28.687 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:29.499 -0600	click		at (432, 285)	19	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:30.580 -0600	moveto	Patient/DOB/MonthFoward	at (624, 286)	24	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:31.391 -0600	click		at (624, 286)	29	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:32.206 -0600	click		at (624, 286)	29	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:34.212 -0600	click	(TEXT:"4")	at (506, 343)	32	on_buttons	Modules/DOBMod.script
2017-07-05 11:18:35.386 -0600	click	Patient/New/Social Security	at (335, 260)	27	on_create	Patient/New.script
2017-07-05 11:18:36.230 -0600	typetext		595-49-4746	28	on_create	Patient/New.script
2017-07-05 11:18:37.372 -0600	click	Patient/New/MaritalStatus	at (411, 283)	30	on_create	Patient/New.script
2017-07-05 11:18:38.590 -0600	click	(TEXT:"Married")	at (326, 324)	33	on_create	Patient/New.script
2017-07-05 11:18:39.765 -0600	click	Patient/New/Sex	at (869, 232)	35	on_create	Patient/New.script
2017-07-05 11:18:40.494 -0600	typetext		[downArrow][returnKey]	37	on_create	Patient/New.script
2017-07-05 11:18:41.685 -0600	click	Patient/New/CreateNewPatient	at (318, 529)	41	on_create	Patient/New.script
2017-07-05 11:18:46.526 -0600	imagefound	Patient/Check/OK	Unable to Find Image Patient/Check/OK	2	on_check	Patient/New.script
2017-07-05 11:18:46.912 -0600	imagefound	Patient/New/ConfirmCreateNewPatient	found at (135, 548)	12	on_check	Patient/New.script
2017-07-05 11:18:47.019 -0600	click		at (135, 548)	13	on_check	Patient/New.script
2017-07-05 11:18:47.020 -0600	Log		New Patient has been created	14	on_check	Patient/New.script
2017-07-05 11:18:50.729 -0600	imagefound	Patient/New/NewDueClinicalReminders	found at (642, 121)	16	on_check	Patient/New.script
2017-07-05 11:18:51.213 -0600	click	Patient/Check/OK	at (882, 241)	17	on_check	Patient/New.script
2017-07-05 11:18:56.149 -0600	imagefound	Patient/Check/OK	Unable to Find Image Patient/Check/OK	2	on_fix	Patient/New.script
2017-07-05 11:18:56.149 -0600	Log		Nothing to Fix	25	on_fix	Patient/New.script
2017-07-05 11:18:56.586 -0600	EndTestCase		(Duration:"76.470599", Errors:"0", Exceptions:"0", StartTime:"2017-07-05 11:17:40 -0600", Successes:"1", TestCase:"Index/Index No CSV.script", Warnings:"0")
2017-07-05 11:18:56.621 -0600	SUCCESS		Execution Time 0:01:16 Index/Index No CSV.script
